Tag;Datum;Wochentag;NCN;NdN;ND1;C1
1;01.12.2023;Friday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 7;Mitarbeiter 8
2;02.12.2023;Saturday;Mitarbeiter 1;Mitarbeiter 2;Mitarbeiter 3;Mitarbeiter 4
3;03.12.2023;Sunday;Mitarbeiter 2;Mitarbeiter 1;Mitarbeiter 4;Mitarbeiter 3
4;04.12.2023;Monday;Mitarbeiter 3;Mitarbeiter 4;Mitarbeiter 9;Mitarbeiter 10
5;05.12.2023;Tuesday;Mitarbeiter 1;Mitarbeiter 2;Mitarbeiter 5;Mitarbeiter 6
6;06.12.2023;Wednesday;Mitarbeiter 9;Mitarbeiter 10;Mitarbeiter 1;Mitarbeiter 2
7;07.12.2023;Thursday;Mitarbeiter 3;Mitarbeiter 4;Mitarbeiter 7;Mitarbeiter 8
8;08.12.2023;Friday;Mitarbeiter 9;Mitarbeiter 10;Mitarbeiter 1;Mitarbeiter 2
9;09.12.2023;Saturday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 7;Mitarbeiter 8
10;10.12.2023;Sunday;Mitarbeiter 6;Mitarbeiter 5;Mitarbeiter 8;Mitarbeiter 7
11;11.12.2023;Monday;Mitarbeiter 7;Mitarbeiter 8;Mitarbeiter 3;Mitarbeiter 4
12;12.12.2023;Tuesday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 1;Mitarbeiter 2
13;13.12.2023;Wednesday;Mitarbeiter 7;Mitarbeiter 8;Mitarbeiter 9;Mitarbeiter 10
14;14.12.2023;Thursday;Mitarbeiter 3;Mitarbeiter 4;Mitarbeiter 5;Mitarbeiter 6
15;15.12.2023;Friday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 7;Mitarbeiter 8
16;16.12.2023;Saturday;Mitarbeiter 9;Mitarbeiter 10;Mitarbeiter 1;Mitarbeiter 2
17;17.12.2023;Sunday;Mitarbeiter 10;Mitarbeiter 9;Mitarbeiter 2;Mitarbeiter 1
18;18.12.2023;Monday;Mitarbeiter 1;Mitarbeiter 2;Mitarbeiter 7;Mitarbeiter 8
19;19.12.2023;Tuesday;Mitarbeiter 9;Mitarbeiter 10;Mitarbeiter 3;Mitarbeiter 4
20;20.12.2023;Wednesday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 9;Mitarbeiter 10
21;21.12.2023;Thursday;Mitarbeiter 7;Mitarbeiter 8;Mitarbeiter 1;Mitarbeiter 2
22;22.12.2023;Friday;Mitarbeiter 1;Mitarbeiter 2;Mitarbeiter 7;Mitarbeiter 8
23;23.12.2023;Saturday;Mitarbeiter 3;Mitarbeiter 4;Mitarbeiter 5;Mitarbeiter 6
24;24.12.2023;Sunday;Mitarbeiter 4;Mitarbeiter 3;Mitarbeiter 6;Mitarbeiter 5
25;25.12.2023;Monday;Mitarbeiter 9;Mitarbeiter 10;Mitarbeiter 1;Mitarbeiter 2
26;26.12.2023;Tuesday;Mitarbeiter 7;Mitarbeiter 8;Mitarbeiter 3;Mitarbeiter 4
27;27.12.2023;Wednesday;Mitarbeiter 5;Mitarbeiter 6;Mitarbeiter 1;Mitarbeiter 2
28;28.12.2023;Thursday;Mitarbeiter 3;Mitarbeiter 4;Mitarbeiter 5;Mitarbeiter 6
29;29.12.2023;Friday;Mitarbeiter 1;Mitarbeiter 2;Mitarbeiter 5;Mitarbeiter 6
30;30.12.2023;Saturday;Mitarbeiter 7;Mitarbeiter 8;Mitarbeiter 9;Mitarbeiter 10
31;31.12.2023;Sunday;Mitarbeiter 8;Mitarbeiter 7;Mitarbeiter 10;Mitarbeiter 9
